,dayofmonth,day,hour,temp,pressure,humidity,wind,visibility,dew_point,energy
46,13,3,15,6.34,757.34,66.5,5.17,40.0,0.54,250
47,13,3,16,5.82,757.36,66.33,3.58,40.0,-0.02,480
48,13,3,17,4.46,757.3,73.5,3.0,40.0,0.06,580
49,13,3,18,3.28,757.3,82.0,3.0,35.42,0.42,670
50,13,3,19,2.78,757.23,88.83,3.33,29.0,1.07,350
51,13,3,20,3.1,756.9,88.5,5.0,34.5,1.4,410
52,13,3,21,3.0,756.9,89.0,5.0,40.0,1.4,110
53,13,3,22,2.99,756.11,86.83,5.58,35.42,0.96,290
54,13,3,23,3.03,755.73,87.25,5.58,35.42,1.08,250
55,14,4,0,2.84,755.17,89.42,5.0,28.17,1.28,280
56,14,4,1,2.86,754.37,91.25,5.0,27.42,1.52,220
57,14,4,2,2.97,753.48,91.33,5.42,33.0,1.66,260
58,14,4,3,3.28,752.57,89.0,5.58,35.0,1.68,270
59,14,4,4,3.36,751.64,89.42,5.42,28.42,1.8,210
60,14,4,5,3.34,750.67,90.0,5.58,28.17,1.84,270
61,14,4,6,3.65,749.91,89.58,6.67,27.42,2.11,240
62,14,4,7,3.88,749.27,90.17,8.61,24.89,2.44,210
63,14,4,8,2.82,749.12,94.2,6.17,25.5,1.95,600
64,14,4,9,1.5,749.23,97.0,4.0,36.67,1.07,620
65,14,4,11,2.75,748.68,92.25,4.75,40.0,1.6,220
66,14,4,13,4.45,748.09,86.75,6.0,40.0,2.44,420
67,14,4,14,5.15,747.6,84.5,6.0,40.0,2.75,310
68,14,4,15,5.46,747.48,81.92,6.0,40.0,2.58,310
69,14,4,16,5.33,747.62,78.75,6.08,40.0,1.89,60
70,14,4,17,4.53,748.03,76.0,6.33,40.0,0.63,400
71,14,4,18,4.33,748.23,76.33,6.33,40.0,0.5,510
72,14,4,19,3.6,748.7,83.0,7.67,40.0,0.97,290
73,14,4,20,3.65,748.92,79.33,8.83,40.0,0.34,660
74,14,4,21,3.79,749.27,70.0,9.17,40.0,-1.21,700
75,14,4,22,2.62,749.54,79.17,7.58,32.92,-0.75,290
76,14,4,23,1.15,749.47,92.83,7.83,35.08,0.18,230
77,15,5,0,0.47,749.26,96.5,9.42,44.5,0.0,320
78,15,5,1,0.17,749.28,99.58,10.0,45.67,0.08,310
79,15,5,2,0.78,749.69,96.08,10.42,45.75,0.2,280
80,15,5,3,1.88,750.39,88.25,10.58,23.83,0.12,260
81,15,5,4,2.82,751.01,80.08,10.0,31.25,-0.38,300
82,15,5,5,3.08,751.51,74.33,10.0,40.0,-1.11,300
83,15,5,6,3.2,752.01,73.67,9.58,40.0,-1.07,270
84,15,5,7,3.2,752.51,76.83,8.58,40.0,-0.48,310
85,15,5,8,3.2,752.87,78.33,8.33,40.0,-0.25,250
86,15,5,9,3.2,753.53,81.33,9.33,40.0,0.2,160
87,15,5,10,3.43,753.9,82.0,8.67,36.33,0.57,370
88,15,5,11,3.8,754.5,85.0,8.5,25.0,1.45,360
89,15,5,12,3.76,754.78,87.72,8.72,32.11,1.83,220
90,15,5,13,4.06,755.0,86.46,8.0,43.67,2.01,510
91,15,5,14,4.32,755.12,85.17,8.0,33.58,2.06,380
92,15,5,15,3.33,755.67,89.0,7.58,32.08,1.62,340
93,15,5,16,1.91,756.37,95.17,7.0,37.67,1.18,340
94,15,5,17,2.49,756.89,93.58,6.17,45.17,1.55,590
95,15,5,18,2.87,757.36,93.0,5.17,26.33,1.87,190
96,15,5,19,2.5,758.27,94.33,6.33,63.33,1.7,350
97,15,5,20,2.4,758.97,97.0,4.67,64.0,1.97,640
98,15,5,21,2.2,759.47,96.75,4.0,53.75,1.67,550
99,15,5,22,2.53,760.4,95.33,3.33,34.33,1.87,310
100,15,5,23,2.58,760.81,95.83,3.0,35.0,1.96,380
101,16,6,0,2.34,761.25,96.58,3.42,30.5,1.8,240
102,16,6,1,2.19,761.6,95.58,4.42,36.5,1.55,320
103,16,6,2,1.85,761.97,95.0,3.75,40.0,1.15,280
104,16,6,3,1.12,762.24,95.83,2.0,32.92,0.55,250
105,16,6,4,0.6,762.42,96.58,2.42,21.75,0.12,300
106,16,6,5,0.56,762.47,96.0,3.0,20.0,-0.04,240
107,16,6,6,0.71,762.34,96.0,3.0,37.92,0.11,310
108,16,6,7,1.02,762.41,96.0,3.0,63.0,0.42,100
109,16,6,8,1.26,762.68,96.58,3.0,63.0,0.72,210
110,16,6,9,1.59,763.01,96.17,3.0,45.08,0.97,370
111,16,6,10,2.62,763.34,94.17,3.0,20.0,1.7,430
112,16,6,11,4.0,763.61,90.5,3.0,21.25,2.52,320
113,16,6,12,5.2,763.82,78.25,3.83,24.67,1.58,450
114,16,6,13,5.86,763.7,71.83,4.58,32.42,1.04,520
115,16,6,14,5.55,763.7,74.58,5.25,40.0,1.21,430
116,16,6,15,5.02,763.88,67.67,6.5,44.17,-0.63,220
117,16,6,16,3.06,764.63,78.08,3.58,54.58,-0.55,450
118,16,6,17,1.68,764.42,87.17,3.33,40.0,-0.27,230
119,16,6,20,0.63,764.98,93.67,2.67,29.17,-0.22,710
120,16,6,21,0.44,764.97,96.83,3.75,17.75,0.02,720
121,16,6,22,0.79,764.62,95.08,2.58,26.5,0.08,360
122,16,6,23,0.79,764.5,94.25,2.58,25.25,0.0,330
123,17,7,0,0.62,764.5,96.0,2.42,38.75,0.08,280
124,17,7,1,0.88,764.62,94.75,3.0,47.5,0.12,310
125,17,7,2,0.75,764.67,95.08,3.42,24.25,0.04,260
126,17,7,3,0.48,764.42,97.58,3.17,31.83,0.1,300
127,17,7,4,0.56,764.22,96.58,2.42,40.0,0.06,310
128,17,7,5,0.46,764.1,96.42,3.0,35.0,0.0,260
129,17,7,6,0.44,764.18,96.58,3.0,28.0,-0.04,270
130,17,7,7,0.5,764.3,96.0,3.0,28.0,-0.1,170
131,17,7,8,-0.8,764.72,95.25,2.0,25.0,-1.5,190
132,17,7,9,0.03,765.05,90.5,1.17,28.83,-1.38,100
133,17,7,10,0.66,765.22,88.75,1.0,29.0,-1.01,540
134,17,7,11,1.3,765.4,87.0,1.0,29.0,-0.6,180
135,17,7,12,2.61,765.56,73.92,2.0,33.58,-1.71,710
136,17,7,13,2.93,765.47,68.33,2.0,40.0,-2.5,610
137,17,7,14,3.05,765.3,61.0,2.0,40.0,-3.9,410
138,17,7,15,2.93,765.16,59.42,1.58,40.0,-4.3,490
139,17,7,16,1.91,765.02,65.42,1.42,40.0,-4.01,490
140,17,7,17,0.67,764.89,73.83,2.0,40.0,-3.58,220
141,17,7,18,-0.85,764.8,82.0,2.0,40.0,-3.62,530
142,17,7,19,-1.08,764.8,76.5,2.0,40.0,-4.76,610
143,17,7,20,-1.32,764.67,75.92,2.42,34.17,-5.07,660
144,17,7,21,-1.7,764.45,81.0,2.5,27.0,-4.6,530
145,17,7,22,-2.07,764.28,82.42,2.0,28.42,-4.73,330
146,17,7,23,-2.51,763.93,84.25,2.0,27.33,-4.9,380
147,18,1,0,-3.01,763.41,86.0,2.0,26.25,-5.11,270
148,18,1,1,-3.59,762.79,87.25,2.0,25.92,-5.44,260
149,18,1,2,-4.0,762.25,88.17,2.0,23.83,-5.67,260
150,18,1,3,-4.0,761.69,86.58,2.42,25.83,-5.98,250
151,18,1,4,-4.0,761.15,85.17,3.0,27.0,-6.18,270
152,18,1,5,-4.21,760.59,85.25,3.0,24.92,-6.34,200
153,18,1,6,-4.62,760.17,87.42,2.58,22.0,-6.44,330
154,18,1,7,-4.68,759.92,87.58,2.0,21.17,-6.46,330
155,18,1,8,-4.33,759.72,86.58,2.0,20.83,-6.28,210
156,18,1,9,-3.85,759.47,86.42,1.58,22.42,-5.81,270
157,18,1,10,-2.96,759.13,84.08,1.83,30.08,-5.36,190
158,18,1,11,-1.87,758.69,77.5,3.0,40.0,-5.38,270
159,18,1,12,-1.28,758.15,73.17,3.0,40.0,-5.54,240
160,18,1,13,-0.89,757.59,71.17,3.0,40.0,-5.56,240
161,18,1,14,-0.52,757.17,68.75,3.0,35.42,-5.62,250
162,18,1,15,-0.44,756.92,68.25,2.58,33.58,-5.63,200
163,18,1,16,-0.79,756.72,75.0,2.0,35.42,-4.82,280
164,18,1,17,-1.53,756.6,84.08,2.42,26.92,-3.96,210
165,18,1,18,-2.04,756.6,86.67,3.0,24.0,-3.99,100
166,18,1,19,-2.5,756.75,80.5,3.0,25.5,-5.4,320
167,18,1,21,-3.75,756.65,85.25,2.0,21.0,-5.95,190
168,18,1,22,-4.38,756.6,86.83,1.58,38.33,-6.31,340
169,18,1,23,-4.73,756.6,87.58,1.0,64.42,-6.48,270
170,19,2,0,-4.54,756.6,88.67,1.0,65.0,-6.13,280
171,19,2,1,-4.48,756.43,89.75,1.0,46.25,-5.94,270
172,19,2,2,-4.38,756.32,89.25,1.0,38.33,-5.92,200
173,19,2,3,-4.33,756.38,90.17,1.0,64.0,-5.76,280
174,19,2,4,-4.1,756.24,89.0,1.0,64.0,-5.7,200
175,19,2,5,-4.27,756.34,89.83,1.0,63.58,-5.74,270
176,19,2,6,-4.42,756.44,90.58,1.0,63.42,-5.76,280
177,19,2,7,-4.3,756.62,89.58,1.0,64.0,-5.78,250
178,19,2,8,-4.55,756.97,90.67,1.0,63.17,-5.9,250
179,19,2,9,-4.4,757.24,92.17,1.0,62.0,-5.52,200
180,19,2,10,-3.16,757.34,86.83,1.0,62.83,-5.12,270
181,19,2,11,-2.07,757.48,78.5,1.0,45.67,-5.38,200
182,19,2,12,-0.93,757.6,70.42,1.0,20.83,-5.71,260
183,19,2,13,-0.08,757.47,65.67,1.0,22.0,-5.79,200
184,19,2,14,0.59,757.26,63.42,1.0,24.08,-5.67,270
185,19,2,15,1.12,757.24,59.08,1.0,27.0,-6.02,230
186,19,2,16,-0.03,757.34,67.0,1.0,24.92,-5.58,250
187,19,2,17,-1.12,757.52,77.75,1.0,21.17,-4.62,430
188,19,2,18,-2.41,757.82,85.92,1.0,45.67,-4.44,490
189,19,2,19,-2.7,757.9,88.0,1.0,64.0,-4.4,110
190,19,2,21,-4.05,758.2,92.5,1.5,61.0,-5.15,540
191,19,2,22,-3.77,758.32,91.0,1.0,61.42,-5.07,340
192,19,2,23,-4.21,758.62,92.25,1.0,61.17,-5.34,280
193,20,3,0,-4.62,758.76,94.0,1.42,55.42,-5.52,220
194,20,3,1,-4.83,758.73,93.58,1.86,50.67,-5.77,270
195,20,3,2,-4.89,758.79,92.58,1.53,54.67,-5.94,190
196,20,3,3,-4.96,758.86,91.58,1.19,58.67,-6.1,260
197,20,3,4,-4.58,758.98,90.58,1.0,61.0,-5.87,250
198,20,3,5,-3.58,759.02,90.0,1.83,61.0,-4.98,230
199,20,3,6,-2.93,758.9,90.0,2.63,61.0,-4.36,360
200,20,3,7,-2.63,759.02,88.33,2.0,61.42,-4.34,320
201,20,3,8,-2.35,759.35,86.5,2.5,61.75,-4.28,250
202,20,3,9,-2.12,759.88,88.42,3.17,59.75,-3.78,400
203,20,3,10,-1.88,760.25,88.58,2.42,58.42,-3.52,470
204,20,3,11,-1.37,760.6,86.33,3.0,59.83,-3.36,490
205,20,3,12,-0.61,760.6,83.42,2.42,61.0,-3.07,240
206,20,3,13,-0.11,760.47,82.17,2.0,61.42,-2.78,450
207,20,3,14,0.42,760.3,80.58,2.0,62.0,-2.56,330
208,20,3,15,0.6,760.3,81.25,2.0,61.58,-2.29,480
209,20,3,16,0.48,760.3,84.67,2.0,59.75,-1.83,420
210,20,3,17,0.22,760.47,88.25,2.0,55.08,-1.48,410
211,20,3,18,0.0,760.7,91.0,2.0,50.0,-1.27,520
212,20,3,20,0.15,761.27,90.0,1.25,57.25,-1.25,260
213,20,3,21,0.3,761.5,89.25,2.0,61.0,-1.33,130
214,20,3,22,0.3,761.62,88.6,2.0,61.0,-1.44,490
215,20,3,23,0.18,761.8,88.0,2.0,61.0,-1.62,310
216,21,4,0,-0.42,761.97,88.83,2.0,58.92,-2.05,250
217,21,4,1,-1.42,762.2,91.67,2.0,51.83,-2.61,330
218,21,4,2,-1.5,762.24,92.75,1.58,52.25,-2.57,250
219,21,4,3,-0.76,762.26,90.58,1.0,60.17,-2.1,300
220,21,4,4,-0.91,762.28,89.17,1.42,59.83,-2.43,240
221,21,4,5,-1.62,762.52,88.42,2.0,56.83,-3.28,310
222,21,4,6,-2.03,762.7,89.42,2.0,52.67,-3.55,270
223,21,4,7,-2.22,762.95,90.42,1.58,55.83,-3.58,280
224,21,4,8,-3.42,763.47,91.83,1.0,50.33,-4.6,190
225,21,4,9,-3.13,763.91,91.75,1.0,46.42,-4.34,320
226,21,4,10,-0.46,764.32,84.17,1.0,57.33,-2.92,330
227,21,4,11,1.5,764.5,71.83,1.0,44.92,-3.13,310
228,21,4,12,2.78,764.38,61.83,1.0,20.58,-3.98,320
229,21,4,13,3.87,764.1,56.0,1.33,35.0,-4.27,160
230,21,4,14,4.52,763.82,53.92,1.58,46.25,-4.18,380
231,21,4,15,4.62,763.87,54.75,1.0,20.83,-3.87,270
232,21,4,16,3.58,764.18,64.17,1.0,39.92,-2.7,250
233,21,4,17,1.47,764.47,72.92,1.0,65.0,-2.95,210
234,21,4,18,0.12,764.67,78.17,1.0,64.83,-3.28,270
235,21,4,19,-0.68,764.62,84.0,1.58,63.42,-3.08,470
236,21,4,20,-0.32,764.67,83.67,2.33,62.83,-2.77,400
237,21,4,21,0.57,764.72,84.25,3.25,62.0,-1.75,170
238,21,4,22,-0.02,764.8,87.08,2.58,60.75,-1.92,330
239,21,4,23,-0.35,764.92,89.17,2.83,59.83,-1.93,260
240,22,5,0,-0.12,765.1,88.42,3.58,61.0,-1.78,240
241,22,5,1,-0.3,764.85,88.58,3.0,61.42,-1.98,220
242,22,5,2,-0.42,764.58,88.0,3.0,62.0,-2.22,230
243,22,5,3,-0.68,764.45,87.58,3.0,62.0,-2.52,240
244,22,5,4,-0.97,764.1,87.0,3.0,62.0,-2.87,220
245,22,5,5,-1.12,763.89,86.17,3.0,62.83,-3.14,230
246,22,5,6,-1.12,763.52,84.58,2.58,64.42,-3.41,230
247,22,5,7,-1.09,763.36,82.75,2.42,46.25,-3.7,270
248,22,5,8,-0.51,763.13,79.75,3.42,20.42,-3.66,300
249,22,5,9,0.0,762.85,78.5,4.0,20.5,-3.35,280
250,22,5,10,0.56,762.72,77.75,4.0,20.42,-2.93,260
251,22,5,11,2.08,762.31,73.08,4.58,21.58,-2.35,200
252,22,5,12,3.03,761.85,70.58,5.42,22.83,-1.85,190
253,22,5,13,3.58,761.25,69.58,6.0,23.58,-1.5,270
254,22,5,14,3.7,760.78,71.92,6.0,22.17,-0.96,170
255,22,5,15,3.41,760.6,81.0,5.58,37.67,0.38,260
256,22,5,16,3.0,760.47,90.08,5.42,56.42,1.53,190
257,22,5,17,3.08,760.3,94.25,6.0,46.67,2.25,260
258,22,5,18,3.37,760.42,95.58,6.0,49.92,2.72,170
259,22,5,19,3.64,760.81,95.83,6.42,50.58,3.02,230
260,22,5,20,3.7,761.35,97.0,6.58,46.42,3.2,220
261,22,5,21,3.7,761.87,97.42,5.58,49.33,3.28,200
262,22,5,22,3.87,762.27,98.83,5.0,22.58,3.69,230
263,22,5,23,4.27,762.71,100.0,5.0,8.0,4.27,190
264,23,6,0,4.54,763.25,100.0,4.58,6.33,4.54,260
265,23,6,1,4.73,763.81,100.0,3.58,3.17,4.73,190
266,23,6,2,4.98,764.52,100.0,3.0,2.0,4.98,210
267,23,6,3,5.06,765.43,99.58,3.0,2.42,5.02,230
268,23,6,4,5.04,766.07,99.42,3.42,6.33,4.98,180
269,23,6,5,5.43,766.42,100.0,4.0,10.17,5.43,260
270,23,6,6,5.9,766.93,99.58,4.0,21.5,5.82,180
271,23,6,7,5.78,767.57,99.0,3.58,40.67,5.62,240
272,23,6,8,5.6,768.02,99.37,3.37,32.73,5.54,470
273,23,6,9,5.8,768.75,99.5,3.5,27.0,5.75,710
274,23,6,10,6.13,769.45,99.43,3.43,36.4,6.07,590
275,23,6,11,6.51,769.98,99.17,4.42,35.5,6.38,790
276,23,6,12,6.9,770.17,97.67,4.33,43.0,6.57,440
277,23,6,13,7.22,770.22,96.17,3.83,56.42,6.66,870
278,23,6,14,7.43,770.17,95.0,4.67,63.33,6.63,750
279,23,6,15,7.12,770.47,96.25,4.0,57.42,6.53,610
280,23,6,16,6.56,770.66,98.0,4.0,48.5,6.26,420
281,23,6,17,5.88,770.56,97.58,3.17,49.17,5.53,180
282,23,6,18,5.54,770.58,96.58,2.42,57.92,5.06,550
283,23,6,19,6.13,770.62,93.92,3.42,44.5,5.2,500
284,23,6,20,5.9,770.42,90.58,4.42,21.25,4.42,630
285,23,6,21,5.73,770.22,90.42,5.0,22.17,4.26,580
286,23,6,22,5.46,770.02,91.0,4.58,21.42,4.16,440
287,23,6,23,5.28,769.78,91.42,4.42,22.42,4.02,420
288,24,7,0,5.18,769.56,92.0,4.58,23.42,3.98,210
289,24,7,1,5.3,769.33,92.0,4.0,23.58,4.1,260
290,24,7,2,5.34,768.89,92.0,4.0,23.0,4.14,190
291,24,7,3,5.57,768.43,91.58,4.0,24.67,4.32,270
292,24,7,4,5.92,768.16,91.0,4.0,26.58,4.58,190
293,24,7,5,6.39,767.97,89.33,4.83,31.83,4.7,240
294,24,7,6,6.47,767.76,89.5,6.42,49.17,4.82,210
295,24,7,7,6.03,767.57,94.0,7.0,62.67,5.17,210
296,24,7,9,6.53,767.7,94.33,5.67,40.0,5.67,450
297,24,7,10,6.5,767.95,96.0,5.5,51.0,5.9,180
298,24,7,11,6.56,768.1,98.58,5.0,53.83,6.32,620
299,24,7,12,6.7,768.02,99.0,4.75,44.5,6.5,450
300,24,7,14,7.73,767.6,97.67,4.0,51.67,7.4,280
301,24,7,15,7.86,767.46,97.0,4.42,61.0,7.46,510
302,24,7,16,7.84,767.44,96.58,5.0,61.83,7.36,390
303,24,7,17,7.94,767.5,96.0,4.58,63.42,7.34,470
304,24,7,18,7.96,767.5,96.0,3.58,63.58,7.36,400
305,24,7,19,7.93,767.6,95.67,3.0,63.0,7.3,220
306,24,7,20,8.04,767.63,95.0,3.42,62.17,7.34,360
307,24,7,21,8.1,767.44,95.0,4.0,61.42,7.36,490
308,24,7,22,8.02,767.33,95.0,3.58,62.0,7.26,390
309,24,7,23,7.94,767.06,95.0,2.58,62.0,7.2,230
310,25,1,0,8.04,766.92,94.58,2.0,62.0,7.2,290
311,25,1,1,8.1,766.59,94.0,2.0,62.42,7.2,290
312,25,1,2,8.14,766.17,94.0,2.83,63.0,7.24,250
313,25,1,3,8.28,765.83,94.0,3.58,63.42,7.38,290
314,25,1,4,8.02,765.43,95.25,3.0,62.75,7.29,230
315,25,1,5,7.33,765.03,96.17,3.0,62.25,6.71,300
316,25,1,6,6.85,764.67,95.0,3.0,64.42,6.09,270
317,25,1,7,6.62,764.33,95.0,3.0,46.67,5.92,250
318,25,1,8,7.01,764.06,94.17,3.0,23.5,6.18,290
319,25,1,9,7.97,763.83,89.67,3.0,32.42,6.34,230
320,25,1,10,9.61,763.47,77.92,3.42,40.0,5.73,300
321,25,1,11,11.22,763.3,63.0,4.0,40.0,4.26,230
322,25,1,12,12.06,763.13,57.67,4.83,40.0,3.83,290
323,25,1,13,12.29,762.65,58.33,5.58,40.0,4.22,300
324,25,1,14,12.87,762.22,55.58,5.0,40.0,4.18,230
325,25,1,15,12.85,762.02,57.5,5.0,40.0,4.63,290
326,25,1,16,11.71,762.07,64.33,5.42,40.0,5.06,300
327,25,1,17,10.39,762.3,70.67,5.58,40.0,5.17,240
328,25,1,18,9.98,762.42,73.83,4.58,40.0,5.48,280
329,25,1,19,9.72,762.65,75.75,4.0,40.0,5.65,200
330,25,1,20,9.7,763.33,78.67,4.67,40.0,6.07,230
331,25,1,21,9.8,763.64,80.25,4.58,35.42,6.45,470
332,25,1,22,10.01,764.03,82.0,4.42,29.0,7.01,380
333,25,1,23,10.3,764.37,82.67,4.67,28.33,7.43,460
334,26,2,0,9.5,764.23,88.0,4.0,25.0,7.57,170
335,26,2,1,9.39,764.51,89.17,3.58,23.58,7.67,260
336,26,2,2,9.59,764.67,88.83,3.42,23.0,7.86,270
337,26,2,3,8.67,764.33,91.25,3.58,22.58,7.38,210
338,26,2,4,8.09,763.97,93.42,2.58,39.5,7.13,290
339,26,2,5,8.54,763.76,94.0,2.42,64.42,7.6,280
340,26,2,6,8.6,763.58,94.0,3.0,64.17,7.64,200
341,26,2,7,8.67,763.33,94.0,3.0,62.67,7.77,250
342,26,2,8,8.92,763.08,94.0,3.42,62.0,8.02,390
343,26,2,9,9.18,762.78,94.0,4.42,61.58,8.28,260
344,26,2,10,9.59,762.47,92.75,5.42,62.25,8.48,250
345,26,2,11,10.04,762.22,90.17,6.42,45.67,8.52,200
346,26,2,12,10.27,761.93,86.08,7.42,22.92,8.02,270
347,26,2,13,10.75,761.45,79.5,8.0,27.0,7.29,250
348,26,2,14,10.98,760.97,75.17,8.83,27.83,6.75,200
349,26,2,15,10.51,760.72,75.25,9.17,33.58,6.32,260
350,26,2,16,9.98,760.43,76.58,8.0,40.0,6.03,270
351,26,2,17,9.8,760.08,75.17,8.42,40.0,5.59,200
352,26,2,18,9.84,759.94,74.0,9.0,40.0,5.38,250
353,26,2,19,9.78,760.0,75.67,9.0,40.0,5.71,200
354,26,2,20,9.52,760.0,80.0,8.75,36.0,6.25,180
355,26,2,21,9.38,759.88,86.0,8.42,24.83,7.08,400
356,26,2,22,9.57,759.6,85.0,9.0,30.67,7.1,250
357,26,2,23,9.85,759.48,80.75,9.75,40.0,6.6,150
358,27,3,0,9.86,759.33,80.42,10.0,40.0,6.54,270
359,27,3,1,9.88,758.85,81.0,10.0,40.0,6.68,210
360,27,3,2,10.04,758.5,80.58,10.0,40.0,6.76,240
361,27,3,3,10.1,758.38,80.42,10.0,40.0,6.82,190
362,27,3,4,10.1,757.99,81.42,9.58,40.0,7.04,250
363,27,3,5,10.18,757.58,81.58,9.42,40.0,7.1,200
364,27,3,6,10.3,757.36,80.58,10.0,35.42,7.02,230
365,27,3,7,10.04,757.34,83.3,9.63,41.83,7.23,280
366,27,3,8,9.68,757.36,88.17,9.42,47.75,7.76,360
367,27,3,9,9.77,757.32,88.0,10.0,30.0,7.85,200
368,27,3,10,9.95,757.52,89.33,10.0,38.33,8.26,170
369,27,3,11,10.51,757.41,86.17,10.0,29.0,8.28,260
370,27,3,12,10.97,756.83,83.75,10.42,33.58,8.32,190
371,27,3,13,11.16,756.39,82.0,10.17,35.42,8.2,250
372,27,3,14,11.18,755.85,81.58,9.42,33.58,8.2,250
373,27,3,15,11.22,755.42,81.0,9.58,40.0,8.12,190
374,27,3,16,10.98,755.22,81.42,9.0,40.0,7.92,250
375,27,3,17,10.55,755.02,84.5,9.0,32.92,7.97,200
376,27,3,18,10.12,754.94,89.25,9.0,39.67,8.32,240
377,27,3,19,9.83,755.0,91.83,8.58,63.83,8.5,240
378,27,3,20,9.6,755.0,93.42,8.42,46.67,8.54,180
379,27,3,21,9.68,755.08,94.0,8.58,37.67,8.68,250
380,27,3,22,9.8,755.32,94.42,7.58,62.25,8.92,230
381,27,3,23,9.8,755.62,95.42,6.58,62.75,9.14,200
382,28,4,0,9.88,756.13,95.58,5.17,46.83,9.2,260
383,28,4,1,9.92,756.89,92.92,4.42,32.42,8.78,180
384,28,4,2,9.47,757.92,88.75,5.42,34.58,7.66,250
385,28,4,3,8.71,758.97,87.83,5.17,27.83,6.78,250
386,28,4,4,8.01,759.62,88.17,4.42,33.58,6.14,200
387,28,4,5,7.06,760.62,88.67,3.75,35.42,5.29,250
388,28,4,6,6.26,761.58,90.58,2.0,29.0,4.88,180
389,28,4,7,5.78,762.43,89.58,2.0,29.0,4.2,240
390,28,4,8,4.58,763.19,91.08,2.0,28.58,3.21,190
391,28,4,9,4.08,763.98,93.58,2.0,28.42,3.09,260
392,28,4,10,5.22,764.75,90.08,2.0,29.0,3.67,190
393,28,4,11,6.35,765.18,81.83,1.58,33.58,3.4,250
394,28,4,12,6.95,765.26,75.17,1.42,40.0,2.78,250
395,28,4,13,7.3,765.24,72.75,2.0,40.0,2.65,200
396,28,4,14,7.26,765.22,70.58,2.0,35.42,2.18,260
397,28,4,15,7.12,765.1,69.58,2.0,33.58,1.83,170
398,28,4,16,6.38,765.1,72.33,2.0,40.0,1.68,260
399,28,4,17,4.33,765.18,81.17,2.0,40.0,1.38,250
400,28,4,18,2.32,765.47,88.67,2.42,34.58,0.63,200
401,28,4,19,2.47,765.74,89.75,3.42,27.0,0.9,240
